id,title,image,price,inStock,category,isNew
14266239,Nike Air Force 1 LV8,https://static.nike.com/a/images/t_default/db1701b1-249b-4aba-ab7d-c5a78c981321/air-force-1-lv8-big-kids-shoes-2TVBPx.png,52.97,True,Big Kids' Shoes,False
1000197443,Nike Air Force 1 '07,https://static.nike.com/a/images/t_default/b6a095e1-d80b-4a28-b0d4-fdc3c098c95c/air-force-1-07-mens-shoes-6HPpcT.png,93.97,True,Men's Shoes,False
1000197001,Nike Air Force 1 '07 LV8 EMB,https://static.nike.com/a/images/t_default/cfc67fd4-38c0-4c45-87e0-80a0d985fd05/air-force-1-07-lv8-emb-mens-shoes-s8hCLW.png,103.97,True,Men's Shoes,False
13019620,Nike Air Force 1 '07 High,https://static.nike.com/a/images/t_default/bc061476-e39b-4cf0-a8f4-ef367f8c7ac4/air-force-1-07-high-mens-shoes-XTJLXX.png,125.0,True,Men's Shoes,False
1000197002,Nike Air Force 1 '07 LV8,https://static.nike.com/a/images/t_default/3b05de1c-b694-48b1-9855-f8494f99e0b3/air-force-1-07-lv8-mens-shoes-PZf0LL.png,89.97,True,Men's Shoes,False
13229611,Nike Force 1,https://static.nike.com/a/images/t_default/8c323a4b-dd6b-495a-849f-06a7b349d27a/force-1-little-kids-shoes-xrmQ0W.png,70.0,True,Little Kids' Shoes,False
1010068354,Nike Air Force 1 '07 LV8,https://static.nike.com/a/images/t_default/ca25d17d-7256-4742-9145-a53c90671d35/air-force-1-07-lv8-mens-shoes-qvL1qB.png,130.0,True,Men's Shoes,False
1010123176,Nike Air Force 1 LV8,https://static.nike.com/a/images/t_default/edc253c4-28e6-4511-ba7d-650329c4fcec/air-force-1-lv8-big-kids-shoes-1lGPrs.png,70.97,True,Big Kids' Shoes,False
1007489828,Nike Air Force 1 LV8,https://static.nike.com/a/images/t_default/14068171-716b-43d1-8893-e550cfd3e31a/air-force-1-lv8-big-kids-shoes-wLmrNN.png,51.97,True,Big Kids' Shoes,False
1011847360,Nike Air Force 1 Mid By You,https://static.nike.com/a/images/t_default/fdded470-0ac5-4bd7-b41b-1bb63e161438/custom-nike-air-force-1-mid-by-you-shoes.png,140.0,True,Men's Custom Shoes,False
1011847360,Nike Air Force 1 Mid By Americana,https://static.nike.com/a/images/t_default/171cadc1-ee74-4469-9525-dec5a67f1be2/custom-nike-air-force-1-mid-by-you-shoes.png,140.0,True,Custom Shoes,False
14084299,Nike Air Force 1 '07 LV8,https://static.nike.com/a/images/t_default/c8da9d90-3914-4063-871f-a784a76d041b/air-force-1-07-lv8-mens-shoes-W1vVxF.png,91.97,True,Men's Shoes,False
1007401372,Nike Air Force 1 Unity,https://static.nike.com/a/images/t_default/93b7f47c-b09d-4092-8d97-f7f6a0323662/air-force-1-unity-big-kids-shoes-3BPWF0.png,77.97,True,Big Kids' Shoes,False
14289670,Nike Air Force 1 '07 LV8,https://static.nike.com/a/images/t_default/f14d9bc7-d7be-4582-83f3-d658f29b89f7/air-force-1-07-lv8-mens-shoes-Sxw463.png,103.97,True,Men's Shoes,False
1007400965,Nike Air Force 1 Mid LE,https://static.nike.com/a/images/t_default/e394f383-18e0-4d24-8562-92844c225480/air-force-1-mid-le-big-kids-shoes-W0dKGw.png,57.97,True,Big Kids' Shoes,False
