id,title,category,price,color,inStock,img_one,img_two,img_three,img_four
1009173238,Nike Air Force 1 '07 Premium,Men's Shoes,150,White,True,https://static.nike.com/a/images/t_default/a9b6d2b3-5612-4c96-9eba-b62c817fffc0/air-force-1-07-premium-mens-shoes-S9NNTv.png,https://static.nike.com/a/images/t_default/2714b55f-c017-4a93-a385-cac01cdc617c/air-force-1-07-premium-mens-shoes-S9NNTv.png,https://static.nike.com/a/images/t_default/6c7879af-274d-4569-8ed6-f6eee48ee0ea/air-force-1-07-premium-mens-shoes-S9NNTv.png,https://static.nike.com/a/images/t_default/82bc63ad-12ca-4641-8998-2e6c450fb04c/air-force-1-07-premium-mens-shoes-S9NNTv.png
12726078,Nike Force 1 Crib,Baby Bootie,45,Black,True,https://static.nike.com/a/images/t_default/ehmxbh09gioulq4omksm/force-1-crib-baby-bootie-clk354.png,https://static.nike.com/a/images/t_default/umhkqxmakzhv93qnlsz2/force-1-crib-baby-bootie-clk354.png,https://static.nike.com/a/images/t_default/wmacetcck50tkefgcrxq/force-1-crib-baby-bootie-clk354.png,https://static.nike.com/a/images/t_default/dxpovdahwh6ow5c9d6s0/force-1-crib-baby-bootie-clk354.png
1009406282,Nike Air Force 1 Low By You,Custom Men's Shoes,130,Multi-Color,True,https://static.nike.com/a/images/t_default/f94d7e32-157b-4220-91d4-88aeb1095f8b/custom-nike-air-force-1-low-by-you.png,https://static.nike.com/a/images/t_default/4bb131fa-a3e9-41fc-9f49-634e6600cdd5/custom-nike-air-force-1-low-by-you.png,https://static.nike.com/a/images/t_default/bb63be95-4df0-4e6a-ab5f-92b7e826be09/custom-nike-air-force-1-low-by-you.png,https://static.nike.com/a/images/t_default/16c9e014-502e-4612-a1af-f81850bf4304/custom-nike-air-force-1-low-by-you.png
1011845472,Nike Air Force 1 LV8,Big Kids' Shoes,100,White,True,https://static.nike.com/a/images/t_default/28ef8b03-5519-4ab6-b501-40ad3dbb196b/air-force-1-lv8-big-kids-shoes-kbd5wR.png,https://static.nike.com/a/images/t_default/b7f40ab7-b820-4a96-99fb-2de09782d84e/air-force-1-lv8-big-kids-shoes-kbd5wR.png,https://static.nike.com/a/images/t_default/73e3a168-54e0-4bdc-8068-225b39f0971d/air-force-1-lv8-big-kids-shoes-kbd5wR.png,https://static.nike.com/a/images/t_default/1d8a01c4-6cb7-40f1-a6ec-85740e874c61/air-force-1-lv8-big-kids-shoes-kbd5wR.png
14114156,Nike Air Force 1 Mid '07 Premium,Men's Shoes,185,Black,True,https://static.nike.com/a/images/t_default/e1b80be6-fce8-4f2f-820e-fad7dd1a1272/air-force-1-mid-07-premium-mens-shoes-6HzNcj.png,https://static.nike.com/a/images/t_default/8094b3c2-92e5-4687-be2c-cc94aeed81e6/air-force-1-mid-07-premium-mens-shoes-6HzNcj.png,https://static.nike.com/a/images/t_default/8f3d366d-86f3-46d9-9739-ff4c948e359b/air-force-1-mid-07-premium-mens-shoes-6HzNcj.png,https://static.nike.com/a/images/t_default/46529403-cf4a-4087-95e7-e86035354d03/air-force-1-mid-07-premium-mens-shoes-6HzNcj.png
1010166315,Nike Force 1 Low SE,Baby/Toddler Shoes,60,Orange,True,https://static.nike.com/a/images/t_default/f59a7d70-fb30-45ab-a308-259284925314/force-1-low-se-baby-toddler-shoes-4xvCm9.png,https://static.nike.com/a/images/t_default/be94ff17-bdea-467e-be47-a8e0287ff5f2/force-1-low-se-baby-toddler-shoes-4xvCm9.png,https://static.nike.com/a/images/t_default/e45d1a64-ccc9-4249-822e-44b3498bd903/force-1-low-se-baby-toddler-shoes-4xvCm9.png,https://static.nike.com/a/images/t_default/ee997d67-494c-42e9-b4ca-7123a43a5143/force-1-low-se-baby-toddler-shoes-4xvCm9.png
1011819971,Nike Air Force 1 Next Nature,Big Kids' Shoes,100,White,True,https://static.nike.com/a/images/t_default/fec20495-8906-4099-b9c2-55f9bb08450f/air-force-1-next-nature-big-kids-shoes-NvdqCW.png,https://static.nike.com/a/images/t_default/6f7c9d59-32c4-4cbb-9fef-e6390cefd7b8/air-force-1-next-nature-big-kids-shoes-NvdqCW.png,https://static.nike.com/a/images/t_default/bebd9783-8349-404a-b2a3-7039f506d43c/air-force-1-next-nature-big-kids-shoes-NvdqCW.png,https://static.nike.com/a/images/t_default/2730f833-6c23-4979-b70b-b7bb44b88cc3/air-force-1-next-nature-big-kids-shoes-NvdqCW.png
1000197445,Nike Air Force 1 Mid '07,Men's Shoes,120,White,True,https://static.nike.com/a/images/t_default/f2f5ab29-36fb-48c7-81d9-50baa654b2b9/air-force-1-mid-07-mens-shoes-CmXM62.png,https://static.nike.com/a/images/t_default/81983d1e-8a73-4f7f-9a95-0fdda84e3d75/air-force-1-mid-07-mens-shoes-CmXM62.png,https://static.nike.com/a/images/t_default/c3fe41a5-9508-45fc-bd1e-9c3df3566463/air-force-1-mid-07-mens-shoes-CmXM62.png,https://static.nike.com/a/images/t_default/d2ca4766-50cc-4d93-b549-459417047e6e/air-force-1-mid-07-mens-shoes-CmXM62.png
1009351172,Nike Air Force 1 High By You,Women's Custom Shoes,145,Multi-Color,True,https://static.nike.com/a/images/t_default/cd56e210-35a7-45ea-acf3-fcd8ffcb6456/custom-nike-air-force-1-high-by-you-shoes.png,https://static.nike.com/a/images/t_default/08be97d4-10be-4f75-9187-97adef9798ef/custom-nike-air-force-1-high-by-you-shoes.png,https://static.nike.com/a/images/t_default/0af5547a-114e-4e40-a396-da36eae4bca8/custom-nike-air-force-1-high-by-you-shoes.png,https://static.nike.com/a/images/t_default/ac164a86-46df-4a80-a7cb-8357b791bebc/custom-nike-air-force-1-high-by-you-shoes.png
1011845474,Nike Air Force 1 LV8,Big Kids' Shoes,100,Blue,True,https://static.nike.com/a/images/t_default/85359e16-f5d4-4f24-9627-34fe3649f8ec/air-force-1-lv8-big-kids-shoes-47knZ6.png,https://static.nike.com/a/images/t_default/354d56f4-a322-4b82-8fa2-f391b80721d5/air-force-1-lv8-big-kids-shoes-47knZ6.png,https://static.nike.com/a/images/t_default/ded7b836-e5f0-4cf7-92fb-5e06d61381f6/air-force-1-lv8-big-kids-shoes-47knZ6.png,https://static.nike.com/a/images/t_default/1f5a62b4-7995-47a0-add5-60126dabe8b5/air-force-1-lv8-big-kids-shoes-47knZ6.png
13144168,Nike Air Force 1 High LE,Big Kids' Shoes,105,Black,True,https://static.nike.com/a/images/t_default/f885719f-1b24-4352-bef5-83394c184351/air-force-1-high-le-big-kids-shoes-81vt1b.png,https://static.nike.com/a/images/t_default/79a1a6b9-2b64-42b0-ba42-541b897feffa/air-force-1-high-le-big-kids-shoes-81vt1b.png,https://static.nike.com/a/images/t_default/44b7fb94-6db0-4c24-bb5e-3a0ea9b7cb0a/air-force-1-high-le-big-kids-shoes-81vt1b.png,https://static.nike.com/a/images/t_default/ce2a38df-26c0-4bec-9ede-f3b9c7b965b1/air-force-1-high-le-big-kids-shoes-81vt1b.png
